date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:12	27156/27156	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2016:05:12%20GMT	https://www.theearthsafari.com/forests-of-india.php	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/forests-of-india.html	(from )
21:35:12	112/112	---MCZ	200	added ('OK')	text/plain	date:Sun,%2011%20Feb%202018%2013:11:21%20GMT	https://www.theearthsafari.com/robots.txt		(from )
21:35:13	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/bitm43/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:13	122540/122540	---MCZ	200	added ('OK')	text/css	date:Sun,%2011%20Feb%202018%2013:35:59%20GMT	https://www.theearthsafari.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/assets/css/bootstrap.min.css	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:14	29067/29067	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Feb%202018%2013:36:08%20GMT	https://www.theearthsafari.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/assets/css/font-awesome.min.css	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:14	1284/1284	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Feb%202018%2011:10:20%20GMT	https://www.theearthsafari.com/assets/css/slick.css	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/assets/css/slick.css	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:14	31095/31095	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Sep%202018%2010:59:57%20GMT	https://www.theearthsafari.com/assets/css/main.css	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/assets/css/main.css	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:14	5747/5747	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Feb%202018%2011:09:35%20GMT	https://www.theearthsafari.com/assets/css/media.css	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/assets/css/media.css	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:14	10719/10719	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Feb%202018%2013:37:15%20GMT	https://www.theearthsafari.com/assets/img/the-earth-safari-logo.png	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/assets/img/the-earth-safari-logo.png	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:15	3721/3721	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2016:05:16%20GMT	https://www.theearthsafari.com/	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/index.html	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:15	22219/22219	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2016:05:16%20GMT	https://www.theearthsafari.com/about-us	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/about-us.html	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:16	73369/73369	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2016:05:16%20GMT	https://www.theearthsafari.com/client-testimonials	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/client-testimonials.html	(from https://www.theearthsafari.com/forests-of-india.php)
21:35:16	43513/43513	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2016:05:17%20GMT	https://www.theearthsafari.com/contact-us	C:/My%20Web%20Sites/bitm43/www.theearthsafari.com/contact-us.html	(from https://www.theearthsafari.com/forests-of-india.php)
